Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O3PSg+R+I+A,103.0,-0.507177033492823,0.0017119034617130325,0.00046552692685837896,0.0011556630065591167,0.0046232530983672275,0.0057260050919379505,0.0,0.0033912333743346497,19,22
O3PSg+R-APOSSPREP,275.0,0.3157894736842106,0.005350653638939713,0.002235491605369847,0.004480102535727438,0.0,0.0,0.0,0.0,19,22
O3PSg+R-APOSSPREPMS,264.0,0.26315789473684204,0.012195173172026905,0.0015687543730781843,0.004120875214142958,0.0,0.0,0.0,0.0,19,22
O2PSgOBJ,152.0,-0.2727272727272727,0.016286151855132762,0.0,0.0,0.0011551990939265772,0.002438207190799671,0.0,0.0,19,22
O3PPl+R-ASUB,290.0,0.3875598086124401,0.016712375526000103,0.003920183025284026,0.004798538265938032,0.0009730346459354954,0.0020055518994218013,0.002079002079002,0.0,19,22
O2PSg,127.5,-0.38995215311004783,0.024311658967820712,0.004945314211451057,0.010661821906454764,0.010314978638035278,0.012082051910067603,0.0,0.00750117205813405,19,22
TRUNC-A,293.0,0.4019138755980862,0.026520218812398647,0.00802655886042797,0.006545823304472075,0.004194628465772977,0.005963972378912324,0.008130081300813,0.0029399019466229,19,22
O3PSg+R+I+ASUBES,161.5,-0.2272727272727273,0.03065503020765622,0.0,0.0,0.0012196183055900956,0.002529206195169061,0.0,0.0,19,22
O3PPl+R-ASUBES,273.5,0.30861244019138745,0.031945639409758274,0.0026408791107902264,0.003567620681652909,0.000577986447817109,0.0015669471330613778,0.0,0.0,19,22
MSTRUNC-A,286.0,0.368421052631579,0.04029765925413919,0.006261827661646522,0.005506258202475671,0.003498781949026959,0.005758996162853833,0.0059880239520958,0.0010869565217391,19,22
O2P,136.0,-0.34928229665071775,0.049223761467839716,0.006409731427102911,0.011884616783506895,0.011303915118515096,0.012732069439310479,0.0,0.00750117205813405,19,22
O3PSg+R+I-AOBJES,276.0,0.32057416267942584,0.05539646109672147,0.0035456075885754424,0.0038215071024501977,0.0015561867633405364,0.0027715659984211896,0.0028248587570621,0.0,19,22
O3PPl+R-AOBJMS,242.0,0.1578947368421053,0.05988791453846472,0.0005368440353132843,0.0012979139567520835,0.0,0.0,0.0,0.0,19,22
O3PSg+R-APOSSPREPES,242.0,0.1578947368421053,0.05988791453846472,0.0006667372322916526,0.0016245768969936343,0.0,0.0,0.0,0.0,19,22
O3PSg+R+I+ASUB,158.5,-0.2416267942583732,0.07114032342595775,0.00031685015017090005,0.001007480451013732,0.002935803657111968,0.005172503141977233,0.0,0.0,19,22
O2PSgGenSUB,166.0,-0.20574162679425834,0.09013138060330118,0.0016070711128967421,0.007005060576200344,0.003057159803745191,0.006040219120984942,0.0,0.0,19,22
O3PSg+R+I+AOBJ,170.0,-0.1866028708133971,0.10161789505577207,0.00014867677668747894,0.0006480670448320844,0.001015450733628009,0.002063849033458364,0.0,0.0,19,22
O3PSg+R-ASUBMS,263.5,0.26076555023923453,0.10195848513294505,0.006830361327946864,0.012478325563154848,0.0027424440238256274,0.005841639327947795,0.0019960079840319,0.0,19,22
O3PSg+R-ASUB,263.5,0.26076555023923453,0.10195848513294505,0.011064559833121579,0.02011065115142982,0.005371112795035777,0.011802383642167196,0.0019960079840319,0.0,19,22
O3PSg+R+I+APREP,180.5,-0.13636363636363635,0.10499915578343233,0.0,0.0,0.0006719987076272499,0.0017791116534052352,0.0,0.0,19,22
