Variable,Group0_W,Group0_p,Group1_W,Group1_p
O,0.9785589568656662,0.9243536884792416,0.9511289333338558,0.33249358052850037
O1P,0.9826592142516045,0.9686496668638782,0.9025553488647865,0.03344944320324834
O1PSg,0.9747363438088436,0.86551585162142,0.9085839222350068,0.044297389249448
O1PSgSUB,0.9798250554501915,0.9402930308546908,0.9176207623062441,0.06787604901250355
O1PSgPOSS,0.9555189611582747,0.48769670279049115,0.8717408423467661,0.008435641248503871
O1PSgPREP,0.9004150447427741,0.04950079544959077,0.7128044384480101,2.8602601943167676e-05
O3P,0.8680105954548691,0.013360430581261674,0.9307531060531892,0.12721039291317843
O3PSg,0.8419065871522862,0.004967814090602814,0.9029884969485183,0.03412751761910975
O3PSg+R,0.8099817104289199,0.0016016631126959267,0.8872168819040092,0.016636794490776586
O3PSg+R-A,0.6517848616002675,1.5624927233806315e-05,0.6107824996732866,1.7384860741950237e-06
O3PSg+R-AOBJ,0.5927624793667176,3.7555033132452397e-06,0.5336651892617199,2.7648027200664257e-07
O3PSg+R-AOBJES,0.6156561964354095,6.4307081513611746e-06,0.5492745837868415,3.947867862250901e-07
O3PSg+R-ASUB,0.6284008968246424,8.745926179292028e-06,0.5237757007839925,2.214691572106545e-07
O3PSg+R-ASUBES,0.5061830915702062,5.697645045718781e-07,0.4748817015518485,7.700934683744315e-08
O3PSg+R-ASUBMS,0.613973277842756,6.177548678055757e-06,0.529215227138166,2.5012270341379474e-07
N,0.8324066827748571,0.003516528880431814,0.574451427443195,7.128553719646454e-07
N3P,0.5317076216783394,9.714742295055147e-07,0.3321901334529038,4.872508174013147e-09
N3PSg,0.5317076216783394,9.714742295055147e-07,0.30076068237569653,2.798716261925236e-09
N3PSg+R,0.5417185859470401,1.2034372448820573e-06,0.3091802769596358,3.241482185422035e-09
N3PSg+R-A,0.4710978543626525,2.8113759133648255e-07,0.3131671707820819,3.476393354752499e-09
N3PSg+R-ASUB,0.4710978543626525,2.8113759133648255e-07,0.3131671707820819,3.476393354752499e-09
N3PSg+R-ASUBMS,0.39334452506168405,6.485847450688395e-08,0.22147281884489123,7.417016185076831e-10
O1PSgPOSSPREP,0.8767103662434041,0.018826559533594633,0.7764425193041435,0.00021894853428722024
N3PSg+R-ASUBES,0.37293667196758673,4.503297954399895e-08,0.22147281884489134,7.417016185076831e-10
O3PSg+R-AOBJMS,0.5373870570735193,1.0965737500243324e-06,0.39981546571561744,1.7083813935246005e-08
O1PSgOBJ,0.8851632997886859,0.026437149966735983,0.7582378875647137,0.00011898827207661927
O3PPl,0.7810359797486972,0.0006139426518647689,0.8332207809500228,0.0017388917460282958
O3PPl+R,0.7820726240805908,0.000634742907032964,0.818355377861348,0.0009836017219604248
O3PPl+R+A,0.4485477903945053,1.8130361981089793e-07,0.5457786091427519,3.6427586015315557e-07
O3PPl+R+APREP,0.36318257322989267,3.792978733915678e-08,1.0,1.0
O3PPl+R+APREPMS,0.36318257322989267,3.792978733915678e-08,1.0,1.0
O3PSg+R+I,0.9281884429639399,0.16036635863208326,0.9248735085155986,0.09595924612994451
O3PSg+R+I-A,0.9182793279061863,0.10517662270542916,0.8257461110458446,0.0013023248264494441
O3PSg+R+I-ASUB,0.7430402522781114,0.00018990408560670368,0.7445706391432154,7.643193119569994e-05
O3PSg+R+I-ASUBMS,0.7665268104085317,0.0003880274175963646,0.618185199831119,2.0974419767022355e-06
O3PPl+R+ASUB,0.3669810425142267,4.054370646833009e-08,0.4931922337309472,1.1351527349870496e-07
O3PPl+R+ASUBMS,0.3669810425142267,4.054370646833009e-08,0.22147281884489134,7.417016185076831e-10
O3PSg+R+I-AOBJ,0.9050932173826716,0.06020378252389982,0.6986040234395507,1.878701062119265e-05
O3PSg+R+I-AOBJES,0.8558299373541716,0.008358375093431621,0.6385527437979654,3.5556821432906367e-06
O3PSg+R-APREP,0.5849816970830557,3.1407726773107115e-06,0.41749197499975543,2.4076200819569387e-08
O3PSg+R-APREPES,0.5261532388483448,8.636891535654701e-07,0.4291459546249565,3.029982149437885e-08
O3PSg-R,0.8759204034234127,0.01824431429382532,0.8144572049319493,0.0008499601416770592
