Variable,Group0_W,Group0_p,Group1_W,Group1_p
O3PSg+R+I-APOSS,0.1614563332074741,6.472392914136488e-13,1.0,1.0
O3PSg+R+I-APOSSES,0.1614563332074741,6.472392914136488e-13,1.0,1.0
N3PSg+R+A,0.1614563332074741,6.472392914136488e-13,0.14967652309572388,1.0318425192153712e-13
N3PSg+R+ASUB,0.1614563332074741,6.472392914136488e-13,0.14967652309572388,1.0318425192153712e-13
N3PSg+R+ASUBMS,0.1614563332074741,6.472392914136488e-13,0.14967652309572388,1.0318425192153712e-13
O3PSg-R+A,0.1614563332074741,6.472392914136488e-13,0.149676523095724,1.0318425192153712e-13
O3PSg-R+ASUB,0.1614563332074741,6.472392914136488e-13,1.0,1.0
O3PSg-R+ASUBES,0.1614563332074741,6.472392914136488e-13,1.0,1.0
O2PSgGenOBJ,0.1614563332074741,6.472392914136488e-13,0.2891380703066748,1.6051681828942253e-12
O3PSg-R-AExpPREP,0.1614563332074741,6.472392914136488e-13,1.0,1.0
O3PSg-R-AExpPREPES,0.1614563332074741,6.472392914136488e-13,1.0,1.0
O3PSg-R-AOBJ,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
O3PSg-R-AOBJMS,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
N2P,1.0,1.0,0.22284821002593758,4.1673847465585013e-13
N2PSg,1.0,1.0,0.22284821002593758,4.1673847465585013e-13
N2PSgSUB,1.0,1.0,0.14967652309572388,1.0318425192153712e-13
N3PSg+R+I,1.0,1.0,0.22397047081463495,4.260647445723705e-13
N3PSg+R+I+A,1.0,1.0,0.22397047081463495,4.260647445723705e-13
N3PSg+R+I+ASUB,1.0,1.0,0.22397047081463495,4.260647445723705e-13
N3PSg+R+I+ASUBMS,1.0,1.0,0.22397047081463495,4.260647445723705e-13
N3PSg-R,1.0,1.0,0.2236467724064931,4.2335251809523757e-13
N3PSg-R-A,1.0,1.0,0.2236467724064931,4.2335251809523757e-13
N3PSg-R-AExp,1.0,1.0,0.2236467724064931,4.2335251809523757e-13
