Variable,U,Rank_Biserial,p,Mean_Group0,SD_Group0,Mean_Group1,SD_Group1,Group0,Group1,Median_Group0,Median_Group1,N_Group0,N_Group1
O3PSg+R-APOSSPREP,862.0,0.26300366300366296,0.00347911742272124,0.0019067938404451058,0.003809018133677297,0.00025228200541259235,0.0011467410769298002,0.0019 (0.0038),0.0003 (0.0011),0.0,0.0,35,39
TRUNC-A,943.0,0.38168498168498166,0.0039042103948343796,0.006719480734310747,0.0060157539243783234,0.003376703385854728,0.005056402963622289,0.0067 (0.0060),0.0034 (0.0051),0.0049261083743842,0.0,35,39
O3PSg+R+I-AOBJES,884.5,0.29597069597069603,0.01232591097017258,0.0029901917741702627,0.003502682023190463,0.0012060947857585745,0.0024279030732378293,0.0030 (0.0035),0.0012 (0.0024),0.0020449897750511,0.0,35,39
MSTRUNC-A,903.0,0.32307692307692304,0.012979132587551045,0.005561147562813456,0.005441496435494122,0.0029207066962863974,0.004825030801192888,0.0056 (0.0054),0.0029 (0.0048),0.0047393364928909,0.0,35,39
O3PPl+R-ASUB,877.0,0.2849816849816851,0.014879918715370748,0.0031930741363898197,0.00444025834388132,0.001164977305983328,0.0024448804783743627,0.0032 (0.0044),0.0012 (0.0024),0.0019960079840319,0.0,35,39
O3PSg+R-APOSSPREPMS,801.0,0.17362637362637368,0.01778542792752385,0.0012131645712309686,0.0035069431516043235,0.00010841871306987435,0.0006770746461102952,0.0012 (0.0035),0.0001 (0.0007),0.0,0.0,35,39
O3PSg+R+I-AOBJ,885.0,0.29670329670329676,0.018676675792578496,0.004263925723695002,0.004378550124619716,0.002559563600573308,0.004610285497936458,0.0043 (0.0044),0.0026 (0.0046),0.0034965034965034,0.0,35,39
O3PPl+R-ASUBES,835.0,0.22344322344322354,0.025538335230338976,0.0019005852215785,0.00302298148862051,0.000596293987327205,0.0017487399182926936,0.0019 (0.0030),0.0006 (0.0017),0.0,0.0,35,39
O3PSg+R+I+ASUBES,580.0,-0.1501831501831502,0.04049226008842146,0.00013540961408259715,0.0008010940803113738,0.0009031797438730282,0.0021544622910429764,0.0001 (0.0008),0.0009 (0.0022),0.0,0.0,35,39
O1PSgPREP,859.5,0.2593406593406593,0.04222007732546696,0.004641527841592706,0.005677238050495032,0.002858513013420667,0.0046580952417550284,0.0046 (0.0057),0.0029 (0.0047),0.0040241448692152,0.0,35,39
O3PSg+R+I+A,524.0,-0.2322344322344322,0.04230621858187046,0.0011418668194966542,0.0026023110645882817,0.0029924633079682103,0.004791822448059617,0.0011 (0.0026),0.0030 (0.0048),0.0,0.0,35,39
